date,year,month,business_unit,revenue,cogs,gross_profit,opex,ebitda,capex,accounts_receivable,inventory,accounts_payable,operating_cash_flow,net_cash_flow
2024-03-01,2024,3,LTX Industrial - Divisão Metalmecânica,1898355,1128836,769519,472026,297493,90592,2786052,1455455,1285115,273993,183401
2024-03-01,2024,3,LTX Industrial - Divisão Automação,1305966,796052,509914,273942,235972,74734,1677162,881464,870595,202101,127367
2024-04-01,2024,4,LTX Industrial - Divisão Metalmecânica,2181847,1390350,791497,536174,255323,88573,2628333,1916591,1429912,254694,166121
2024-04-01,2024,4,LTX Industrial - Divisão Automação,1457791,920129,537662,313020,224642,56180,2121583,1099624,874902,208972,152792
2024-05-01,2024,5,LTX Industrial - Divisão Metalmecânica,2292335,1425286,867049,523805,343244,64551,3173742,1991147,1342655,309839,245288
2024-05-01,2024,5,LTX Industrial - Divisão Automação,1519616,948918,570698,356883,213815,73636,1987425,1127388,1084431,213342,139706
2024-06-01,2024,6,LTX Industrial - Divisão Metalmecânica,2317662,1471238,846424,522788,323636,220292,3336247,1905237,1633942,317712,97420
2024-06-01,2024,6,LTX Industrial - Divisão Automação,1548526,929548,618978,338785,280193,88371,2126875,1032525,966431,265189,176818
2024-07-01,2024,7,LTX Industrial - Divisão Metalmecânica,2149646,1322999,826647,433207,393440,59286,3110065,1598258,1241129,366237,306951
2024-07-01,2024,7,LTX Industrial - Divisão Automação,1503891,891731,612160,347616,264544,39694,1827986,1123051,947188,254030,214336
2024-08-01,2024,8,LTX Industrial - Divisão Metalmecânica,2137048,1364614,772434,482577,289857,84420,3074262,1611949,1407860,233903,149483
2024-08-01,2024,8,LTX Industrial - Divisão Automação,1327071,846351,480720,320884,159836,73278,1755298,974986,801436,134374,61096
2024-09-01,2024,9,LTX Industrial - Divisão Metalmecânica,1953569,1216830,736739,455200,281539,80634,2903901,1607881,1297513,263181,182547
2024-09-01,2024,9,LTX Industrial - Divisão Automação,1285580,764745,520835,279997,240838,76681,1548247,867849,698824,196795,120114
2024-10-01,2024,10,LTX Industrial - Divisão Metalmecânica,2063429,1283905,779524,461607,317917,64609,2780439,1594663,1222226,285040,220431
2024-10-01,2024,10,LTX Industrial - Divisão Automação,1314917,811239,503678,304738,198940,37491,1725675,1044679,852564,199328,161837
2024-11-01,2024,11,LTX Industrial - Divisão Metalmecânica,1915794,1129889,785905,389918,395987,112532,2314189,1441436,1335606,378086,265554
2024-11-01,2024,11,LTX Industrial - Divisão Automação,1243184,769030,474154,277121,197033,65008,1842944,935010,913882,202512,137504
2024-12-01,2024,12,LTX Industrial - Divisão Metalmecânica,1790618,1046010,744608,367146,377462,126726,2199474,1364940,963748,333281,206555
2024-12-01,2024,12,LTX Industrial - Divisão Automação,1273661,740501,533160,306600,226560,111104,1573543,969331,806170,230951,119847
2025-01-01,2025,1,LTX Industrial - Divisão Metalmecânica,1869726,1174578,695148,400311,294837,71614,2664704,1576342,1406147,263559,191945
2025-01-01,2025,1,LTX Industrial - Divisão Automação,1202269,753323,448946,260940,188006,86191,1752335,925606,847685,185234,99043
2025-02-01,2025,2,LTX Industrial - Divisão Metalmecânica,1864980,1182682,682298,420110,262188,128728,2417041,1618685,1202504,203221,74493
2025-02-01,2025,2,LTX Industrial - Divisão Automação,1347188,788747,558441,290946,267495,87253,2000819,1003310,859380,245887,158634
2025-03-01,2025,3,LTX Industrial - Divisão Metalmecânica,2056104,1233086,823018,480359,342659,122208,2955595,1648494,1143516,312079,189871
2025-03-01,2025,3,LTX Industrial - Divisão Automação,1337752,820004,517748,297083,220665,83823,1746133,930803,773179,218690,134867
2025-04-01,2025,4,LTX Industrial - Divisão Metalmecânica,2283665,1338381,945284,466336,478948,117685,2790247,1802207,1488109,395683,277998
2025-04-01,2025,4,LTX Industrial - Divisão Automação,1442188,921844,520344,315426,204918,55385,2082288,1275993,1102341,198279,142894
2025-05-01,2025,5,LTX Industrial - Divisão Metalmecânica,2342901,1370620,972281,559619,412662,105139,3109654,1880362,1279280,376770,271631
2025-05-01,2025,5,LTX Industrial - Divisão Automação,1504224,914748,589476,305079,284397,41534,1858104,1184381,1028006,269806,228272
2025-06-01,2025,6,LTX Industrial - Divisão Metalmecânica,2526037,1521917,1004120,541293,462827,291359,3200687,2113892,1375274,477099,185740
2025-06-01,2025,6,LTX Industrial - Divisão Automação,1536097,973069,563028,347749,215279,197148,1877324,1232057,1158721,198086,938
2025-07-01,2025,7,LTX Industrial - Divisão Metalmecânica,2402952,1494023,908929,535202,373727,111225,3304766,2047330,1364990,316622,205397
2025-07-01,2025,7,LTX Industrial - Divisão Automação,1652736,1046869,605867,368201,237666,69107,2120814,1210637,1087811,209676,140569
2025-08-01,2025,8,LTX Industrial - Divisão Metalmecânica,2275865,1330616,945249,566052,379197,142786,3207714,1677679,1321113,379122,236336
2025-08-01,2025,8,LTX Industrial - Divisão Automação,1532451,903773,628678,376287,252391,80239,2275597,1190916,979712,226901,146662
2025-09-01,2025,9,LTX Industrial - Divisão Metalmecânica,2190372,1384235,806137,443026,363111,58320,2875824,1859257,1655798,301671,243351
2025-09-01,2025,9,LTX Industrial - Divisão Automação,1412855,851744,561111,351088,210023,81316,2050757,1056680,872565,180467,99151
2025-10-01,2025,10,LTX Industrial - Divisão Metalmecânica,2056539,1299492,757047,494895,262152,143975,3082733,1645974,1469330,266521,122546
2025-10-01,2025,10,LTX Industrial - Divisão Automação,1484834,883239,601595,330415,271180,42103,2206783,1132182,855498,261952,219849
2025-11-01,2025,11,LTX Industrial - Divisão Metalmecânica,2060795,1239547,821248,423859,397389,115098,2794628,1650699,1309022,402518,287420
2025-11-01,2025,11,LTX Industrial - Divisão Automação,1364872,837562,527310,332800,194510,57191,1692720,928550,943548,186362,129171
2025-12-01,2025,12,LTX Industrial - Divisão Metalmecânica,2035248,1206449,828799,420927,407872,126013,2656357,1540605,1227770,372765,246752
2025-12-01,2025,12,LTX Industrial - Divisão Automação,1383436,831300,552136,312240,239896,171820,1824700,1069572,963234,249099,77279
